"tripduration","starttime","stoptime","start station id","start station name","start station latitude","start station longitude","end station id","end station name","end station latitude","end station longitude","bikeid","usertype","birth year","gender"
1437,"2020-04-01 01:06:20.6300","2020-04-01 01:30:17.9680",3678,"Fairmount Ave",40.72572613742557,-74.07195925712585,3678,"Fairmount Ave",40.72572613742557,-74.07195925712585,42314,"Customer",2002,2
264,"2020-04-01 05:02:42.0570","2020-04-01 05:07:06.1260",3207,"Oakland Ave",40.7376037,-74.0524783,3195,"Sip Ave",40.73089709786179,-74.06391263008118,42146,"Subscriber",1963,2
254,"2020-04-01 06:20:28.1190","2020-04-01 06:24:42.1380",3678,"Fairmount Ave",40.72572613742557,-74.07195925712585,3195,"Sip Ave",40.73089709786179,-74.06391263008118,42255,"Subscriber",1981,1
429,"2020-04-01 06:33:30.5170","2020-04-01 06:40:40.1990",3195,"Sip Ave",40.73089709786179,-74.06391263008118,3679,"Bergen Ave",40.722103786686034,-74.07145500183105,42529,"Subscriber",1964,1
805,"2020-04-01 06:38:32.9220","2020-04-01 06:51:58.2050",3193,"Lincoln Park",40.7246050998869,-74.07840594649315,3195,"Sip Ave",40.73089709786179,-74.06391263008118,42362,"Subscriber",1965,1
317,"2020-04-01 06:43:44.5300","2020-04-01 06:49:01.8340",3211,"Newark Ave",40.72152515,-74.046304543,3205,"JC Medical Center",40.71653978099194,-74.0496379137039,42636,"Subscriber",1956,1
238,"2020-04-01 06:43:52.2160","2020-04-01 06:47:51.0450",3267,"Morris Canal",40.7124188237569,-74.03852552175522,3792,"Columbus Dr at Exchange Pl",40.71687,-74.03281,42336,"Subscriber",1967,1
360,"2020-04-01 06:51:07.8450","2020-04-01 06:57:08.3370",3207,"Oakland Ave",40.7376037,-74.0524783,3791,"Hoboken Ave at Monmouth St",40.73520838045357,-74.04696375131607,42531,"Subscriber",1982,1
79,"2020-04-01 07:00:01.6820","2020-04-01 07:01:21.3910",3211,"Newark Ave",40.72152515,-74.046304543,3186,"Grove St PATH",40.71958611647166,-74.04311746358871,27808,"Subscriber",1993,1
523,"2020-04-01 07:00:59.1390","2020-04-01 07:09:42.2690",3184,"Paulus Hook",40.7141454,-74.0335519,3202,"Newport PATH",40.7272235,-74.0337589,42499,"Subscriber",1973,1
2118,"2020-04-01 07:03:01.2760","2020-04-01 07:38:19.6040",3267,"Morris Canal",40.7124188237569,-74.03852552175522,3267,"Morris Canal",40.7124188237569,-74.03852552175522,42107,"Subscriber",1959,1
283,"2020-04-01 07:08:35.3760","2020-04-01 07:13:18.9540",3203,"Hamilton Park",40.727595966,-74.044247311,3186,"Grove St PATH",40.71958611647166,-74.04311746358871,40910,"Subscriber",1970,2
250,"2020-04-01 07:17:10.8840","2020-04-01 07:21:21.7780",3195,"Sip Ave",40.73089709786179,-74.06391263008118,3679,"Bergen Ave",40.722103786686034,-74.07145500183105,42398,"Subscriber",1964,1
415,"2020-04-01 07:20:26.4190","2020-04-01 07:27:21.6640",3278,"Monmouth and 6th",40.72568548362901,-74.04879033565521,3792,"Columbus Dr at Exchange Pl",40.71687,-74.03281,42276,"Subscriber",1979,1
781,"2020-04-01 07:30:37.2020","2020-04-01 07:43:38.3600",3195,"Sip Ave",40.73089709786179,-74.06391263008118,3225,"Baldwin at Montgomery",40.7236589,-74.0641943,42255,"Subscriber",1988,1
306,"2020-04-01 07:38:45.4410","2020-04-01 07:43:51.4560",3679,"Bergen Ave",40.722103786686034,-74.07145500183105,3195,"Sip Ave",40.73089709786179,-74.06391263008118,42529,"Subscriber",1991,2
613,"2020-04-01 07:58:29.6170","2020-04-01 08:08:43.3140",3210,"Pershing Field",40.742677141,-74.051788633,3279,"Dixon Mills",40.721630142638354,-74.04996782541275,42600,"Customer",1981,1
388,"2020-04-01 08:30:33.7440","2020-04-01 08:37:02.1760",3639,"Harborside",40.7192517,-74.034234,3279,"Dixon Mills",40.721630142638354,-74.04996782541275,42583,"Subscriber",1969,1
228,"2020-04-01 08:34:01.4890","2020-04-01 08:37:50.2690",3185,"City Hall",40.7177325,-74.043845,3483,"Montgomery St",40.71942,-74.05099,42377,"Customer",1969,0
1207,"2020-04-01 08:39:16.8370","2020-04-01 08:59:24.2990",3677,"Glenwood Ave",40.72755146730012,-74.07106071710587,3199,"Newport Pkwy",40.7287448,-74.0321082,42497,"Subscriber",1959,1
644,"2020-04-01 08:39:47.2560","2020-04-01 08:50:31.9460",3206,"Hilltop",40.7311689,-74.0575736,3205,"JC Medical Center",40.71653978099194,-74.0496379137039,42223,"Subscriber",1977,2
755,"2020-04-01 08:47:30.9090","2020-04-01 09:00:06.0380",3195,"Sip Ave",40.73089709786179,-74.06391263008118,3195,"Sip Ave",40.73089709786179,-74.06391263008118,42411,"Subscriber",1969,1
1558,"2020-04-01 08:54:53.5160","2020-04-01 09:20:51.5510",3276,"Marin Light Rail",40.71458403535893,-74.04281705617905,3186,"Grove St PATH",40.71958611647166,-74.04311746358871,42538,"Subscriber",1987,1
472,"2020-04-01 09:03:48.1120","2020-04-01 09:11:40.4200",3203,"Hamilton Park",40.727595966,-74.044247311,3184,"Paulus Hook",40.7141454,-74.0335519,42221,"Subscriber",1983,1
691,"2020-04-01 09:04:32.6690","2020-04-01 09:16:04.4750",3212,"Christ Hospital",40.734785818,-74.050443636,3185,"City Hall",40.7177325,-74.043845,42237,"Subscriber",1984,1
582,"2020-04-01 09:11:15.8490","2020-04-01 09:20:57.9470",3694,"Jackson Square",40.71113,-74.0789,3191,"Union St",40.7182113,-74.0836394,42145,"Subscriber",1994,1
515,"2020-04-01 09:12:16.9040","2020-04-01 09:20:51.9840",3276,"Marin Light Rail",40.71458403535893,-74.04281705617905,3203,"Hamilton Park",40.727595966,-74.044247311,42520,"Customer",1990,1
174,"2020-04-01 09:25:48.8880","2020-04-01 09:28:43.3520",3203,"Hamilton Park",40.727595966,-74.044247311,3211,"Newark Ave",40.72152515,-74.046304543,42590,"Subscriber",1988,1
